output,time,parameter,S1,ST
CNH,27,kcat1,0.2053341499646831,0.36840074566827624
CNH,27,kcat2,-0.001535293838835605,0.08447171222989752
CNH,27,Km1,0.03241174935727391,0.08757482932324456
CNH,27,Km2,0.01973257537356807,0.08760523966760488
CNH,27,Tmax,0.2930003165391743,0.4490853222844762
CNH,27,Ken,0.15577668487213037,0.22716227478244222
CNH,27,kAB,-0.00021778151323320017,0.03395026784806171
CNH,27,kAN,-0.0035038960467562684,0.034959823281805476
CNH,27,kAOH,-0.0006969565341293302,0.03156743440452018
CNH,27,kNH,-0.0007238661081024867,0.001883316880986953
CNH,28,kcat1,0.20331785435362118,0.3628883819151561
CNH,28,kcat2,-0.0009049299311514972,0.08362547647984836
CNH,28,Km1,0.03238181087505757,0.08658163636365139
CNH,28,Km2,0.020933225175769343,0.08880734784626025
CNH,28,Tmax,0.2937561032959621,0.44860573752212546
CNH,28,Ken,0.155580373663792,0.22627542321815453
CNH,28,kAB,0.0001512860757054401,0.033681435925893614
CNH,28,kAN,-0.003394728166791898,0.03438129616557447
CNH,28,kAOH,-0.00058522495830827,0.03111408335282355
CNH,28,kNH,-0.0007013091601397802,0.0019868361080842833
CNH,29,kcat1,0.20131682740020226,0.3576107233156925
CNH,29,kcat2,-0.00024982982956750873,0.08309097084180508
CNH,29,Km1,0.03229997718285146,0.0855797447488754
CNH,29,Km2,0.02214406374149361,0.0901266683397725
CNH,29,Tmax,0.29453936467116243,0.4482377620439046
CNH,29,Ken,0.15539925910705846,0.2254580469583296
CNH,29,kAB,0.0005234429984937642,0.03352439908038676
CNH,29,kAN,-0.003281741994429632,0.03387708967421221
CNH,29,kAOH,-0.00048624682702696863,0.030752609514601265
CNH,29,kNH,-0.0006769721388585681,0.0020923356845819227
CNH,30,kcat1,0.19931509315882756,0.3525763118993767
CNH,30,kcat2,0.0004295666235842204,0.08281527664388409
CNH,30,Km1,0.03217512766190851,0.08455518106790026
CNH,30,Km2,0.023375289250556857,0.09154100587687375
CNH,30,Tmax,0.2953298289171482,0.4479426472052528
CNH,30,Ken,0.15524117104697663,0.22469679748854354
CNH,30,kAB,0.0009014799866231517,0.033466573103440624
CNH,30,kAN,-0.0031571324106673825,0.03341581524887433
CNH,30,kAOH,-0.00040217502322001706,0.030458086157313286
CNH,30,kNH,-0.0006508567336424749,0.002199838624756592
CNH,31,kcat1,0.19724641494942186,0.3477325700926821
CNH,31,kcat2,0.0011306929295709723,0.08276476734047959
CNH,31,Km1,0.03198197002143706,0.0835035990539128
CNH,31,Km2,0.024604384200129864,0.09304263965674554
CNH,31,Tmax,0.29606914994741457,0.4476971919653912
CNH,31,Ken,0.15507144636783457,0.22400498046188924
CNH,31,kAB,0.001282640347357223,0.03349665115945817
CNH,31,kAN,-0.0030575420460274122,0.03299948523566194
CNH,31,kAOH,-0.0003371827773329338,0.030219855796223247
CNH,31,kNH,-0.0006227695918150534,0.002309545864432274
CNH,32,kcat1,0.19509698703536962,0.3430548109810583
CNH,32,kcat2,0.001852413911757738,0.08291515372912421
CNH,32,Km1,0.03172326802175843,0.08242865202424761
CNH,32,Km2,0.025816503971827054,0.09464723632286703
