initial_condition,time,output,parameter,S1,ST
40_100,171,3,Ken,0.011536431365186088,0.09669050326284619
40_100,171,3,kAB,0.028953337855023267,0.16532608099326557
40_100,171,3,kAN,0.028757622476820094,0.09214463283535075
40_100,171,3,kAOH,0.0945027730954007,0.35341180094643815
40_100,171,3,kNH,0.012224803500035528,0.07318216121713418
40_100,172,0,kcat1,0.5649034113383267,0.8177102564424706
40_100,172,0,kcat2,0.008482446250852867,0.15767091768135014
40_100,172,0,Km1,0.09407094191175609,0.30072752464811536
40_100,172,0,Km2,0.005151161500110474,0.06886394494535193
40_100,172,0,Tmax,0.017176007065572953,0.18259497839883873
40_100,172,0,Ken,0.006648284513963416,0.06412243813614768
40_100,172,0,kAB,0.025756006586581837,0.1759716176293372
40_100,172,0,kAN,0.03318236894250674,0.1038132926263797
40_100,172,0,kAOH,0.08435075778676854,0.25431523215433965
40_100,172,0,kNH,0.006004181609256794,0.06406080768605535
40_100,172,1,kcat1,0.02050860699232357,0.2760202014284417
40_100,172,1,kcat2,0.18873545494695934,0.38717730434834896
40_100,172,1,Km1,0.002059242500140972,0.1210782270148294
40_100,172,1,Km2,0.12945986532573586,0.4329603858915325
40_100,172,1,Tmax,0.238212215456479,0.5005288472116465
40_100,172,1,Ken,0.024022834081861795,0.18178243142949657
40_100,172,1,kAB,0.028217651428007456,0.11416724624363077
40_100,172,1,kAN,-0.00216390246661801,0.03219672716573851
40_100,172,1,kAOH,-0.01559755189986028,0.681877524098361
40_100,172,1,kNH,0.029872860936620463,0.0681904471567982
40_100,172,2,kcat1,0.01656030733701399,0.22712554309080663
40_100,172,2,kcat2,0.16667855682540583,0.36661053862299486
40_100,172,2,Km1,-0.0003481429550494931,0.17932122172218024
40_100,172,2,Km2,0.11843076100812215,0.46993114908490285
40_100,172,2,Tmax,0.21974866290242218,0.5187433958625791
40_100,172,2,Ken,0.022418056931259134,0.16945170892449313
40_100,172,2,kAB,0.024027540685652635,0.10612539589699443
40_100,172,2,kAN,-0.004301520835026971,0.09720178271018313
40_100,172,2,kAOH,-0.016894425527508337,0.659818147560909
40_100,172,2,kNH,0.027844647364233633,0.06356493150729119
40_100,172,3,kcat1,0.4550559655484082,0.6303783296883548
40_100,172,3,kcat2,0.055732304284565715,0.23295850089030265
40_100,172,3,Km1,0.08764305764564155,0.22448718251073582
40_100,172,3,Km2,0.04105328141852245,0.16308740715531075
40_100,172,3,Tmax,0.07853713052762183,0.20813473993284398
40_100,172,3,Ken,0.011674160272036833,0.0991898376440151
40_100,172,3,kAB,0.029190965515605613,0.16785176883087605
40_100,172,3,kAN,0.028858778457449198,0.09319791764198096
40_100,172,3,kAOH,0.09353369065970116,0.3922730568828544
40_100,172,3,kNH,0.012289220688113923,0.07407630390186196
40_100,173,0,kcat1,0.5627455862010695,0.8186042395511146
40_100,173,0,kcat2,0.008470976004998597,0.1598125240354363
40_100,173,0,Km1,0.09356917213927725,0.3028794533874762
40_100,173,0,Km2,0.005149242616125951,0.0697621564887827
40_100,173,0,Tmax,0.01723781864134851,0.18494233886516614
40_100,173,0,Ken,0.0066718057514249945,0.06497246712715975
40_100,173,0,kAB,0.025862049444210722,0.17832507900513211
40_100,173,0,kAN,0.033114431435001916,0.1045287041433546
40_100,173,0,kAOH,0.08424989079494241,0.2564185093485333
40_100,173,0,kNH,0.006041018633875806,0.06491645067333883
40_100,173,1,kcat1,0.020108160983678937,0.2786665315983809
40_100,173,1,kcat2,0.18877845669072701,0.39100570634795717
40_100,173,1,Km1,0.00208453649155925,0.12526532936477242
40_100,173,1,Km2,0.12896173533017252,0.44231421200553694
40_100,173,1,Tmax,0.23572582799454123,0.49984051223738835
40_100,173,1,Ken,0.024090797410471303,0.18899397479497812
40_100,173,1,kAB,0.028143570963593517,0.11652739458492861
40_100,173,1,kAN,-0.0020706596485379567,0.03320240476667081
40_100,173,1,kAOH,-0.013801179482737269,0.5876374956538096
40_100,173,1,kNH,0.029868746571482953,0.06843704960581673
40_100,173,2,kcat1,0.016258831597444186,0.22989589790848328
40_100,173,2,kcat2,0.1669301311447955,0.36527728827035505
40_100,173,2,Km1,-0.00020498720841597595,0.18302617814314256
40_100,173,2,Km2,0.11811683529434404,0.47852719333770455
40_100,173,2,Tmax,0.21760700827848928,0.5181016227059442
40_100,173,2,Ken,0.02248784680834966,0.17621973728609167
40_100,173,2,kAB,0.024084348761240135,0.10794620086603987
40_100,173,2,kAN,-0.004096209772641611,0.09791660237638132
40_100,173,2,kAOH,-0.015099887363797549,0.571946042342877
40_100,173,2,kNH,0.027848147723601082,0.06381134062741932
40_100,173,3,kcat1,0.4545205449789705,0.6317111338739623
40_100,173,3,kcat2,0.05596661264386406,0.2342291877364881
40_100,173,3,Km1,0.08741790182968838,0.2260195181757468
40_100,173,3,Km2,0.04104240123491925,0.16636068372210985
40_100,173,3,Tmax,0.07826048423973318,0.2097793621161227
40_100,173,3,Ken,0.011814095298587783,0.10177651064795191
40_100,173,3,kAB,0.029430747546236036,0.17043157082915428
40_100,173,3,kAN,0.028960728871698236,0.09427520925675381
40_100,173,3,kAOH,0.09420641708653783,0.37338277033446243
40_100,173,3,kNH,0.012355798818742384,0.07498240996086591
40_100,174,0,kcat1,0.5605786123539881,0.8195006461012221
40_100,174,0,kcat2,0.008458953715874672,0.16196254620831368
40_100,174,0,Km1,0.09306970546858408,0.30504406531854394
40_100,174,0,Km2,0.0051470118621095885,0.07066384914309111
40_100,174,0,Tmax,0.017298010349165106,0.18729847661863733
40_100,174,0,Ken,0.006694892631531313,0.06582559585280409
40_100,174,0,kAB,0.02596634780318036,0.18068721176932942
40_100,174,0,kAN,0.03304476138116203,0.10524618112314152
40_100,174,0,kAOH,0.08414552022076931,0.2585271570277392
40_100,174,0,kNH,0.0060772903030759705,0.06577546761800838
40_100,174,1,kcat1,0.0197139815114621,0.281486415092737
40_100,174,1,kcat2,0.1887651446704624,0.3949544260984729
40_100,174,1,Km1,0.0021179959611530214,0.1296545336822769
40_100,174,1,Km2,0.12843533040469346,0.45195267936938316
40_100,174,1,Tmax,0.2332085641800927,0.4991822596614689
40_100,174,1,Ken,0.02415903587664709,0.19647508505560393
40_100,174,1,kAB,0.02806774203807934,0.1190317490704023
40_100,174,1,kAN,-0.00197328508706044,0.03428449483306129
40_100,174,1,kAOH,-0.015884814469775577,0.7173898326402895
40_100,174,1,kNH,0.029858754932834516,0.06869818286410727
40_100,174,2,kcat1,0.015962168002149047,0.23283757820479636
40_100,174,2,kcat2,0.16713128539462918,0.363975995719193
40_100,174,2,Km1,-5.4293504889791206e-05,0.1869088590737324
40_100,174,2,Km2,0.11777810255599559,0.48738526449117925
40_100,174,2,Tmax,0.21543875484460398,0.5174827820544271
40_100,174,2,Ken,0.022558294906970477,0.1832456228602655
40_100,174,2,kAB,0.024139791905780878,0.109908342210457
40_100,174,2,kAN,-0.003887148775675052,0.09868868111094148
40_100,174,2,kAOH,-0.016933938600347476,0.6929447823056093
40_100,174,2,kNH,0.02784662781170147,0.06407245633582026
40_100,174,3,kcat1,0.45397263567046015,0.6330577459306868
40_100,174,3,kcat2,0.05619905249812352,0.23549638340220183
40_100,174,3,Km1,0.08719521982248747,0.2275792319877522
40_100,174,3,Km2,0.04103293907846258,0.16974596861092697
40_100,174,3,Tmax,0.07798759096261697,0.21147371637711856
40_100,174,3,Ken,0.011955558712352264,0.10445298632881996
40_100,174,3,kAB,0.02967147655353406,0.173067149225296
40_100,174,3,kAN,0.02906180660959526,0.09537738391139595
40_100,174,3,kAOH,0.09341209303401887,0.4057236973892424
40_100,174,3,kNH,0.01242270106295439,0.0759008226679674
40_100,175,0,kcat1,0.5584028105751405,0.8203994330180052
40_100,175,0,kcat2,0.008446398528304647,0.16412076507612605
40_100,175,0,Km1,0.092572569592507,0.307221101176237
40_100,175,0,Km2,0.005144487568728752,0.07156893610063973
40_100,175,0,Tmax,0.01735661172155052,0.189663146458921
40_100,175,0,Ken,0.006717551712425194,0.06668174073111406
40_100,175,0,kAB,0.026068898847026657,0.18305777525022757
40_100,175,0,kAN,0.03297341050052035,0.10596566156586075
40_100,175,0,kAOH,0.08403771004887187,0.26064098527482016
40_100,175,0,kNH,0.006113005383275989,0.06663776576595684
40_100,175,1,kcat1,0.01932631769607237,0.2844794852593517
40_100,175,1,kcat2,0.1886939571292408,0.39902318694880984
40_100,175,1,Km1,0.002157464962267442,0.13424558854548305
40_100,175,1,Km2,0.12787624615412957,0.4618681277325067
40_100,175,1,Tmax,0.2306652158271186,0.49855550877505284
40_100,175,1,Ken,0.024223370178410593,0.2042212666003813
40_100,175,1,kAB,0.027989563714057968,0.12168250289905194
40_100,175,1,kAN,-0.0018712296777376397,0.03544374671865024
40_100,175,1,kAOH,-0.01651015442240932,0.766578220410916
40_100,175,1,kNH,0.029842837363690207,0.06897441082478481
40_100,175,2,kcat1,0.015670538832391275,0.23595013665706605
40_100,175,2,kcat2,0.16728046686219175,0.362716039858162
40_100,175,2,Km1,9.914548041913007e-05,0.19096938594965593
40_100,175,2,Km2,0.11740761764291957,0.49649887124453246
40_100,175,2,Tmax,0.21324544356968486,0.5168881524718228
40_100,175,2,Ken,0.022625503903655468,0.19052571445597496
40_100,175,2,kAB,0.02419051565471902,0.11201435369679429
40_100,175,2,kAN,-0.0036766066272967187,0.09951883328925028
40_100,175,2,kAOH,-0.017408594964197582,0.7388606747537623
40_100,175,2,kNH,0.027840036322454974,0.06434882674235419
40_100,175,3,kcat1,0.4534129515840039,0.634418330939228
40_100,175,3,kcat2,0.05642962248432747,0.2367618050430306
40_100,175,3,Km1,0.0869751776908337,0.22916764665669057
40_100,175,3,Km2,0.041024356281045726,0.17324401868984396
40_100,175,3,Tmax,0.07771739326368085,0.21321809506718128
40_100,175,3,Ken,0.012098837303066698,0.10722019090231842
40_100,175,3,kAB,0.029913786560197494,0.1757594308451428
40_100,175,3,kAN,0.029162961379853053,0.09650477375434954
40_100,175,3,kAOH,0.09341359848165426,0.41932030359998584
40_100,175,3,kNH,0.012491045322045287,0.07683159425011074
40_100,176,0,kcat1,0.5562184909353786,0.8213005407372671
40_100,176,0,kcat2,0.008433325473266091,0.16628695368387247
40_100,176,0,Km1,0.09207778614884811,0.30941029819749477
40_100,176,0,Km2,0.005141684991938966,0.07247732932876387
40_100,176,0,Tmax,0.017413660540799715,0.19203611811655097
40_100,176,0,Ken,0.006739787918032432,0.06754080907732853
40_100,176,0,kAB,0.026169708700502708,0.18543652420579548
40_100,176,0,kAN,0.03290043084185103,0.10668707625487417
40_100,176,0,kAOH,0.08392651734424654,0.26275979978294556
40_100,176,0,kNH,0.006148166095739405,0.06750325788391166
40_100,176,1,kcat1,0.01894466379718093,0.2876411730242878
40_100,176,1,kcat2,0.18856413253640453,0.4032083030455347
40_100,176,1,Km1,0.002200719527318094,0.13903331878581057
40_100,176,1,Km2,0.12728097345146527,0.47204585794066345
40_100,176,1,Tmax,0.22810054836586807,0.4979606075903991
40_100,176,1,Ken,0.024280066279870033,0.21222132019384327
40_100,176,1,kAB,0.027908185353127404,0.12447872407848223
40_100,176,1,kAN,-0.0017645273013098164,0.036678516039540886
40_100,176,1,kAOH,-0.011180701333767803,0.4725824110534664
40_100,176,1,kNH,0.029820820203743197,0.0692653102032083
40_100,176,2,kcat1,0.015383445914392295,0.23922922870965052
40_100,176,2,kcat2,0.16737676004968588,0.3615076015440426
40_100,176,2,Km1,0.00025106857596767266,0.19520357658828355
40_100,176,2,Km2,0.11699981896622548,0.5058551389705863
40_100,176,2,Tmax,0.21102911626308013,0.5163181117748343
40_100,176,2,Ken,0.022685978833573008,0.19805005433061437
40_100,176,2,kAB,0.024233519746174517,0.11426381674000122
40_100,176,2,kAN,-0.003466797233611864,0.10040595840773267
40_100,176,2,kAOH,-0.012314983962591336,0.46454662051317364
40_100,176,2,kNH,0.02782819420311197,0.06464005801322047
40_100,176,3,kcat1,0.45284158470713143,0.6357930396829422
40_100,176,3,kcat2,0.056658127467381074,0.23802758564618393
40_100,176,3,Km1,0.08675768819042111,0.23078612002503576
40_100,176,3,Km2,0.041015946712736104,0.17685346997643092
40_100,176,3,Tmax,0.07744878576892514,0.2150119291521866
40_100,176,3,Ken,0.012243999038852694,0.11007732087626566
40_100,176,3,kAB,0.030157948412032867,0.17850848385155577
40_100,176,3,kAN,0.02926479674910401,0.09765709367757144
40_100,176,3,kAOH,0.09546408281817116,0.3541662051737717
40_100,176,3,kNH,0.012561608767983509,0.0777744612752888
40_100,177,0,kcat1,0.5540259563708355,0.8222039134323756
